Source	gene	n_genomes	genomes_positive	prevalence_percent
Dairy	AslA	13	13	100
Dairy	C719-09_SefB:unpublished	13	0	0
Dairy	C719-09_SefC:unpublished	13	0	0
Dairy	F17A	13	0	0
Dairy	F17C	13	0	0
Dairy	F17D	13	0	0
Dairy	F17G	13	0	0
Dairy	ORF3	13	0	0
Dairy	ORF4	13	0	0
Dairy	aaiC	13	0	0
Dairy	aalF	13	0	0
Dairy	aamR	13	0	0
Dairy	afaA	13	0	0
Dairy	afaB	13	0	0
Dairy	afaC	13	0	0
Dairy	afaD	13	0	0
Dairy	air	13	0	0
Dairy	anr	13	10	76.92307692307692
Dairy	astA	13	13	100
Dairy	capU	13	0	0
Dairy	cba	13	0	0
Dairy	cdt-Ea	13	3	23.076923076923077
Dairy	cdt-IIIB	13	3	23.076923076923077
Dairy	cdt-Sb	13	3	23.076923076923077
Dairy	cdt-VB	13	0	0
Dairy	cea	13	0	0
Dairy	chuA	13	13	100
Dairy	cia	13	0	0
Dairy	cib	13	0	0
Dairy	cif	13	0	0
Dairy	clbB	13	0	0
Dairy	cma	13	0	0
Dairy	cnf2	13	0	0
Dairy	colE2	13	0	0
Dairy	colE2-like	13	0	0
Dairy	colE4	13	0	0
Dairy	colE5	13	0	0
Dairy	colE7	13	0	0
Dairy	colE8	13	0	0
Dairy	colE9	13	0	0
Dairy	csgA	13	13	100
Dairy	cvaC	13	0	0
Dairy	dhaK	13	0	0
Dairy	eae-a03-zeta	13	0	0
Dairy	eae-b01a-beta_1a	13	0	0
Dairy	eae-e01-epsilon_1	13	0	0
Dairy	eae-g01-gamma_1	13	10	76.92307692307692
Dairy	eae-g02-theta	13	0	0
Dairy	efa1	13	0	0
Dairy	ehxA	13	10	76.92307692307692
Dairy	eilA	13	3	23.076923076923077
Dairy	eltIIAB-a	13	0	0
Dairy	epeA	13	0	0
Dairy	espA	13	10	76.92307692307692
Dairy	espB	13	10	76.92307692307692
Dairy	espF	13	7	53.84615384615385
Dairy	espI	13	0	0
Dairy	espJ	13	10	76.92307692307692
Dairy	espP	13	10	76.92307692307692
Dairy	espY2	13	10	76.92307692307692
Dairy	estap-STa4	13	0	0
Dairy	estb-STb2:NEMH01000033	13	3	23.076923076923077
Dairy	etpD	13	10	76.92307692307692
Dairy	etsC	13	0	0
Dairy	faeC	13	0	0
Dairy	faeD	13	0	0
Dairy	faeE	13	0	0
Dairy	faeF	13	0	0
Dairy	faeH	13	0	0
Dairy	faeI	13	0	0
Dairy	faeJ	13	0	0
Dairy	fdeC	13	13	100
Dairy	fedE	13	0	0
Dairy	fimH	13	13	100
Dairy	focCsfaE	13	0	0
Dairy	fyuA	13	0	0
Dairy	gad	13	13	100
Dairy	hha	13	3	23.076923076923077
Dairy	hlyA	13	0	0
Dairy	hlyE	13	13	100
Dairy	hlyF	13	0	0
Dairy	hra	13	0	0
Dairy	ibeA	13	0	0
Dairy	iha	13	10	76.92307692307692
Dairy	ireA	13	0	0
Dairy	iroN	13	0	0
Dairy	irp2	13	0	0
Dairy	iss	13	13	100
Dairy	iucC	13	0	0
Dairy	iutA	13	0	0
Dairy	katP	13	10	76.92307692307692
Dairy	kpsE	13	3	23.076923076923077
Dairy	kpsMII	13	0	0
Dairy	kpsMII_K1	13	0	0
Dairy	kpsMII_K5	13	3	23.076923076923077
Dairy	lpfA	13	3	23.076923076923077
Dairy	lys	13	0	0
Dairy	mcbA	13	0	0
Dairy	mchB	13	0	0
Dairy	mchC	13	0	0
Dairy	mchF	13	0	0
Dairy	mcmA	13	0	0
Dairy	neuC	13	3	23.076923076923077
Dairy	nleA	13	10	76.92307692307692
Dairy	nleB	13	10	76.92307692307692
Dairy	nleC	13	10	76.92307692307692
Dairy	nlpI	13	13	100
Dairy	ompT	13	10	76.92307692307692
Dairy	papA_F12	13	0	0
Dairy	papA_F19	13	0	0
Dairy	papA_F20	13	0	0
Dairy	papC	13	0	0
Dairy	pic	13	0	0
Dairy	senB	13	0	0
Dairy	sfaD	13	0	0
Dairy	sfaS	13	0	0
Dairy	shiA	13	0	0
Dairy	shiB	13	3	23.076923076923077
Dairy	sitA	13	3	23.076923076923077
Dairy	stx1	13	8	61.53846153846154
Dairy	stx1-S.-sonnei-CB7888	13	0	0
Dairy	stx1a-O157-EDL933	13	0	0
Dairy	stx1a-O157-FLY16	13	0	0
Dairy	stx1a-O157-GPU96MM	13	8	61.53846153846154
Dairy	stx1c-O174-DG131-3	13	0	0
Dairy	stx1c-ONT-BCN26	13	0	0
Dairy	stx1c-ONT-HI-C	13	0	0
Dairy	stx1c-Out-HI-N	13	0	0
Dairy	stx1d-ONT-92-1252	13	0	0
Dairy	stx2	13	13	100
Dairy	stx2a-O104-G5506	13	0	0
Dairy	stx2a-O111-928-91	13	0	0
Dairy	stx2a-O157-93-111	13	0	0
Dairy	stx2a-O157-EDL933	13	10	76.92307692307692
Dairy	stx2a-O157-SF-258-98	13	0	0
Dairy	stx2a-O178-TS22-08	13	0	0
Dairy	stx2a-O48-94C	13	0	0
Dairy	stx2a-O8-BMH-17-0027	13	0	0
Dairy	stx2a-O83-N1135	13	0	0
Dairy	stx2a-O88-N2688	13	0	0
Dairy	stx2a-ONT-EK9900	13	0	0
Dairy	stx2b-O118-EH250	13	0	0
Dairy	stx2b-O128-24196-97	13	0	0
Dairy	stx2b-O146-BMH-17-0036	13	0	0
Dairy	stx2b-O174-031	13	0	0
Dairy	stx2b-O40-5293-98	13	0	0
Dairy	stx2b-O96-S-6	13	0	0
Dairy	stx2c-O157-310	13	0	0
Dairy	stx2c-O157-469	13	0	0
Dairy	stx2c-O157-A75	13	0	0
Dairy	stx2c-O157-FLY16	13	0	0
Dairy	stx2c-O157-Y350-	13	0	0
Dairy	stx2c-O177-06-5121	13	0	0
Dairy	stx2c-OR-TS27-08	13	0	0
Dairy	stx2d-O2-EC604a	13	0	0
Dairy	stx2d-O28-MT71	13	0	0
Dairy	stx2d-O73-C165-02	13	3	23.076923076923077
Dairy	stx2d-OR-TS06-08	13	0	0
Dairy	stx2d1-O91-B2F1	13	0	0
Dairy	stx2e-O139-S1191	13	0	0
Dairy	stx2e-ONT-26725-97	13	0	0
Dairy	stx2g-O2-7v	13	0	0
Dairy	stx2h-O102-STEC299	13	0	0
Dairy	stx2i-O9-CB10366	13	0	0
Dairy	stx2j-O33-PNUSAE005447	13	0	0
Dairy	stx2k-O48-STEC309	13	0	0
Dairy	subA	13	0	0
Dairy	tccP	13	0	0
Dairy	terC	13	13	100
Dairy	tia	13	0	0
Dairy	tibC	13	0	0
Dairy	tir	13	10	76.92307692307692
Dairy	toxB	13	10	76.92307692307692
Dairy	traJ	13	3	23.076923076923077
Dairy	traT	13	13	100
Dairy	tsh	13	0	0
Dairy	usp	13	0	0
Dairy	vat	13	0	0
Dairy	yehA	13	3	23.076923076923077
Dairy	yehB	13	3	23.076923076923077
Dairy	yehC	13	3	23.076923076923077
Dairy	yehD	13	3	23.076923076923077
Dairy	yfcV	13	0	0
Dairy	yghJ	13	3	23.076923076923077
Environment	AslA	9	9	100
Environment	C719-09_SefB:unpublished	9	0	0
Environment	C719-09_SefC:unpublished	9	0	0
Environment	F17A	9	0	0
Environment	F17C	9	0	0
Environment	F17D	9	0	0
Environment	F17G	9	0	0
Environment	ORF3	9	0	0
Environment	ORF4	9	0	0
Environment	aaiC	9	0	0
Environment	aalF	9	0	0
Environment	aamR	9	0	0
Environment	afaA	9	0	0
Environment	afaB	9	0	0
Environment	afaC	9	0	0
Environment	afaD	9	0	0
Environment	air	9	0	0
Environment	anr	9	9	100
Environment	astA	9	9	100
Environment	capU	9	0	0
Environment	cba	9	3	33.333333333333336
Environment	cdt-Ea	9	0	0
Environment	cdt-IIIB	9	0	0
Environment	cdt-Sb	9	0	0
Environment	cdt-VB	9	0	0
Environment	cea	9	0	0
Environment	chuA	9	9	100
Environment	cia	9	0	0
Environment	cib	9	0	0
Environment	cif	9	0	0
Environment	clbB	9	0	0
Environment	cma	9	3	33.333333333333336
Environment	cnf2	9	0	0
Environment	colE2	9	0	0
Environment	colE2-like	9	0	0
Environment	colE4	9	0	0
Environment	colE5	9	0	0
Environment	colE7	9	0	0
Environment	colE8	9	0	0
Environment	colE9	9	0	0
Environment	csgA	9	9	100
Environment	cvaC	9	0	0
Environment	dhaK	9	0	0
Environment	eae-a03-zeta	9	0	0
Environment	eae-b01a-beta_1a	9	0	0
Environment	eae-e01-epsilon_1	9	0	0
Environment	eae-g01-gamma_1	9	9	100
Environment	eae-g02-theta	9	0	0
Environment	efa1	9	0	0
Environment	ehxA	9	9	100
Environment	eilA	9	0	0
Environment	eltIIAB-a	9	0	0
Environment	epeA	9	0	0
Environment	espA	9	9	100
Environment	espB	9	9	100
