Matched_REFSEQ	SEQID	Identifier_type	SRA_accession	Strain	Source1	Source2	Serotype	STX
2013-SEQ-0045	2013-SEQ-0045	pre-matched	SRR22858767	CFIAFB20130349	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2013-SEQ-0046	2013-SEQ-0046	pre-matched	SRR22858863	CFIAFB20130338	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2013-SEQ-0047	2013-SEQ-0047	pre-matched	SRR22858874	CFIAFB20130339	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2013-SEQ-0048	2013-SEQ-0048	pre-matched	SRR22858890	CFIAFB20130340	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx1a,Stx2a
2013-SEQ-0109	2013-SEQ-0109	pre-matched	SRR7629310	CFIAFB20120240	Meat	Meat	O157:H7	Stx2a
2013-SEQ-0110	2013-SEQ-0110	pre-matched	SRR7629295	CFIAFB20120241	Meat	Meat	O157:H7	Stx1a,Stx2a
2013-SEQ-0111	2013-SEQ-0111	pre-matched	SRR7629318	CFIAFB20130130	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0093	2014-SEQ-0093	pre-matched	SRR22858879	CFIAFB20100227	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0094	2014-SEQ-0094	pre-matched	SRR22858885	CFIAFB20100228	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0095	2014-SEQ-0095	pre-matched	SRR22858886	CFIAFB20100229	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0096	2014-SEQ-0096	pre-matched	SRR22858887	CFIAFB20100230	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0148	2014-SEQ-0148	pre-matched	SRR7536943	CFIAFB20120182	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0149	2014-SEQ-0149	pre-matched	SRR22858897	CFIAFB20120201	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0179	2014-SEQ-0179	pre-matched	SRR7629283	CFIAFB20120186	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0181	2014-SEQ-0181	pre-matched	SRR7629285	CFIAFB20120216	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0182	2014-SEQ-0182	pre-matched	SRR7629287	CFIAFB20120244	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0183	2014-SEQ-0183	pre-matched	SRR7629319	CFIAFB20120252	Meat	Meat	O157:H7	Stx1a,Stx2a
2014-SEQ-0184	2014-SEQ-0184	pre-matched	SRR7629327	CFIAFB20130141	Meat	Meat	O157:H7	Stx2a
2014-SEQ-0186	2014-SEQ-0186	pre-matched	SRR22858762	CFIAFB20130344	Meat	Meat	O157:H7	Stx1a,Stx2c
2014-SEQ-0245	2014-SEQ-0245	pre-matched	SRR22858813	CFIAFB20130343	Nuts/Seeds	Nuts/Seeds	O185:H7	Stx2c
2014-SEQ-0246	2014-SEQ-0246	pre-matched	SRR22858902	CFIAFB20130342	Nuts/Seeds	Nuts/Seeds	O185:H7	Stx2c
2014-SEQ-0252	2014-SEQ-0252	pre-matched	SRR7629317	CFIAFB20120192	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0349	2014-SEQ-0349	pre-matched	SRR14750047	CFIAFB20140388	Vegetable	Vegetable	OUT:H23	Stx2j
2014-SEQ-0350	2014-SEQ-0350	pre-matched	SRR22858765	CFIAFB20130347	Meat	Meat	O113:H21	Stx2d
2014-SEQ-0351	2014-SEQ-0351	pre-matched	SRR22858766	CFIAFB20130348	Meat	Meat	O113:H21	Stx2d
2014-SEQ-0445	2014-SEQ-0445	pre-matched	SRR22858770	CFIAFB20140238	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0446	2014-SEQ-0446	pre-matched	SRR22858776	CFIAFB20140243	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0447	2014-SEQ-0447	pre-matched	SRR22858778	CFIAFB20140245	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0448	2014-SEQ-0448	pre-matched	SRR22858780	CFIAFB20140247	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0449	2014-SEQ-0449	pre-matched	SRR22858783	CFIAFB20140250	Meat	Meat	O157:H7	Stx2a,Stx1a
2014-SEQ-0450	2014-SEQ-0450	pre-matched	SRR22858784	CFIAFB20140251	Meat	Meat	O157:H7	Stx2c
2014-SEQ-0453	2014-SEQ-0453	pre-matched	SRR22858790	CFIAFB20140257	Environment	Environment	O157:H7	Stx2c
2014-SEQ-0455	2014-SEQ-0455	pre-matched	SRR22858794	CFIAFB20140260	Environment	Environment	O157:H7	Stx2c,Stx1a
2014-SEQ-0456	2014-SEQ-0456	pre-matched	SRR7629321	CFIAFB20130252	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2014-SEQ-0457	2014-SEQ-0457	pre-matched	SRR7629286	CFIAFB20130254	Dairy	Dairy	O157:H7	Stx1a,Stx2a
2014-SEQ-0757	2014-SEQ-0757	pre-matched	SRR22858796	CFIAFB20140303	Vegetable	Vegetable	O146:H32	Stx2a
2014-SEQ-0758	2014-SEQ-0758	pre-matched	SRR22858797	CFIAFB20140304	Vegetable	Vegetable	O146:H32	Stx2a
2014-SEQ-1296	2014-SEQ-1296	pre-matched	SRR22858803	CFIAFB20150310	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1297	2014-SEQ-1297	pre-matched	SRR22858805	CFIAFB20150311	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1298	2014-SEQ-1298	pre-matched	SRR22858806	CFIAFB20150312	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1300	2014-SEQ-1300	pre-matched	SRR22858807	CFIAFB20150314	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
2014-SEQ-1301	2014-SEQ-1301	pre-matched	SRR22858808	CFIAFB20150315	Nuts/Seeds	Nuts/Seeds	O159:H19	Stx2a
