FILE	EXC	INF	PLOT3	PLOT5	LOTSC	NIPH	NIPHEM	ALM	ASM	PAMA	LNF	Invalid CDSs	Classified_CDSs	Total_CDSs
2021-MIN-0009	4100	241	0	0	0	125	37	8	22	0	2686	0	4760	5076
2021-MIN-0249	1394	2770	0	0	0	136	50	7	27	0	2835	0	4621	4935
2021-MIN-0250	901	3207	0	0	0	133	43	6	33	0	2896	0	4625	4942
2021-MIN-0251	3629	605	0	0	0	87	88	8	29	0	2773	0	4680	4984
2021-MIN-0252	4216	96	0	1	0	18	160	8	26	0	2694	0	4758	5056
2022-MIN-0036	4254	26	0	0	0	8	144	8	24	0	2755	0	4658	4957
2022-MIN-0037	3998	137	0	0	0	30	134	5	32	0	2883	0	4583	4888
GCA_012153565.1	1534	2597	2	11	0	123	52	5	22	0	2873	0	4544	4849
GCA_012153625.1	4117	35	2	12	1	2	139	5	20	0	2886	0	4496	4793
GCA_012193385.1	1689	2471	0	9	1	103	33	6	26	0	2881	0	4486	4809
GCA_012560085.1	3772	400	0	7	0	62	119	5	16	0	2838	0	4581	4890
GCA_016773735.1	3933	193	4	2	0	32	78	4	25	0	2948	0	4402	4698
GCA_017076875.1	4113	81	1	7	1	12	132	8	22	0	2842	0	4535	4841
GCA_017125235.1	4068	46	3	11	3	5	175	6	22	0	2880	0	4543	4846
GCA_017125255.1	4153	8	2	10	1	4	129	3	22	0	2887	0	4489	4789
GCA_018927075.1	4082	73	2	13	3	5	127	7	23	0	2884	0	4490	4782
GCA_019436045.1	4104	12	2	14	2	2	175	5	22	0	2881	0	4538	4839
GCA_020370835.1	4164	16	1	12	1	2	129	5	21	0	2868	0	4505	4814
GCA_021078905.1	4194	42	5	8	1	9	98	6	23	0	2833	0	4523	4852
GCA_021079095.1	3965	132	20	59	1	15	70	4	24	0	2929	0	4394	4829
GCA_021079545.1	4109	72	8	10	1	27	76	6	21	0	2889	0	4467	4773
GCA_021079625.1	4224	23	7	15	2	8	95	5	22	0	2818	0	4531	4897
GCA_021080295.1	4203	2	7	11	1	4	99	5	21	0	2866	0	4482	4799
GCA_021081115.1	4231	78	5	11	2	21	90	3	23	0	2755	0	4606	4939
GCA_021082345.1	4153	42	6	12	1	10	95	5	20	0	2875	0	4476	4792
GCA_021082805.1	4189	73	8	9	1	7	100	5	20	0	2807	0	4545	4867
GCA_021492705.1	4213	136	1	5	2	20	160	8	21	0	2653	0	4764	5094
GCA_023211155.1	4149	82	1	6	1	32	127	8	17	0	2796	0	4603	4920
GCA_023768585.1	3585	437	1	12	1	32	111	7	40	0	2993	0	4383	4745
GCA_025327895.1	4133	21	0	15	3	2	146	3	24	0	2872	0	4517	4816
GCA_025988885.1	4033	117	0	0	0	49	128	4	18	0	2870	0	4588	4974
GCA_028221245.1	3997	160	0	8	0	51	112	6	27	0	2858	0	4560	4864
GCA_028240895.1	4068	60	0	10	1	42	144	5	24	0	2865	0	4571	4898
GCA_029481885.1	2919	1288	1	6	1	88	63	7	22	0	2824	0	4579	4872
