FILE	missing	percentage
GCA_021492705.1	2870	0.3975619891951794
2021-MIN-0009	2878	0.39867017592464327
GCA_038420345.1	2886	0.39977836265410727
GCA_039879905.1	2892	0.4006095027012051
2021-MIN-0252	2907	0.40268735281894996
GCA_021081115.1	2910	0.40310292284249893
GCA_039685295.1	2921	0.4046266795955118
2022-MIN-0036	2939	0.40712009973680563
GCA_038086625.1	2953	0.40905942651336746
GCA_038017815.1	2956	0.40947499653691644
GCA_037035515.1	2956	0.40947499653691644
GCA_021082805.1	2957	0.40961351987809946
GCA_036299585.1	2965	0.41072170660756335
GCA_036292925.1	2971	0.4115528466546613
GCA_021079625.1	2972	0.4116913699958443
GCA_039775235.1	2980	0.4127995567253082
GCA_021078905.1	2983	0.4132151267488572
2021-MIN-0251	2985	0.41349217343122313
GCA_023211155.1	2988	0.4139077434547721
GCA_039865785.1	2994	0.41473888350187005
GCA_039778795.1	3000	0.415570023548968
GCA_052635535.1	3000	0.415570023548968
GCA_039735685.1	3012	0.4172323036431639
GCA_042935545.1	3012	0.4172323036431639
GCA_042710215.1	3012	0.4172323036431639
GCA_029481885.1	3012	0.4172323036431639
GCA_021080295.1	3014	0.4175093503255298
GCA_021082345.1	3024	0.41889458373735977
GCA_017076875.1	3025	0.4190331070785427
GCA_051797185.1	3025	0.4190331070785427
GCA_040935505.2	3034	0.4202798171491896
GCA_042177385.1	3036	0.42055686383155566
GCA_021079545.1	3038	0.4208339105139216
GCA_040279925.1	3038	0.4208339105139216
GCA_020370835.1	3039	0.42097243385510463
GCA_039947755.1	3041	0.4212494805374706
GCA_045501555.1	3044	0.42166505056101955
GCA_012560085.1	3047	0.4220806205845685
GCA_039694335.1	3051	0.4226347139493004
2021-MIN-0249	3055	0.4231888073140324
GCA_017125255.1	3058	0.4236043773375814
GCA_039787335.1	3058	0.4236043773375814
GCA_012193385.1	3059	0.4237429006787644
GCA_039686495.1	3060	0.42388142401994733
GCA_028221245.1	3062	0.4241584707023134
GCA_041545175.1	3064	0.42443551738467933
GCA_018927075.1	3064	0.42443551738467933
GCA_025327895.1	3065	0.42457404072586236
GCA_012153625.1	3067	0.4248510874082283
GCA_042441235.1	3068	0.42498961074941133
GCA_025988885.1	3069	0.42512813409059425
GCA_043574615.1	3078	0.42637484416124116
2022-MIN-0037	3084	0.4272059842083391
GCA_041047495.1	3084	0.4272059842083391
GCA_012153565.1	3088	0.4277600775730711
GCA_028240895.1	3091	0.4281756475966201
GCA_016773735.1	3093	0.428452694278986
GCA_019436045.1	3103	0.42983792769081586
GCA_017125235.1	3105	0.4301149743731819
2021-MIN-0250	3111	0.43094611442027986
GCA_021079095.1	3122	0.4324698711732927
GCA_039997695.1	3144	0.43551738467931844
GCA_044986905.1	3162	0.4380108048206123
GCA_039951795.1	3182	0.44078127164427205
GCA_044682155.1	3189	0.441750935032553
GCA_023768585.1	3197	0.4428591217620169
