Genome_ID	Database	Virulence factor	Identity	Query / Template length	Contig	Position in contig	Protein function	Accession number
2021-MIN-0009	virulence_ecoli	csgA	98.9	456 / 456	Contig_2 length=1888694 depth=1.03x	1671467..1671922	 curlin major subunit CsgA	CP069646
2021-MIN-0009	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	Contig_1 length=2732064 depth=1.00x	2600709..2601849	   Heat-labile enterotoxin LTII-a	JQ031711
2021-MIN-0009	virulence_ecoli	fdeC	95.51	4254 / 4254	Contig_2 length=1888694 depth=1.03x	813037..817290	 intimin-like adhesin FdeC	AP010953
2021-MIN-0009	virulence_ecoli	fimH	100	489 / 489	Contig_2 length=1888694 depth=1.03x	353554..354042	   Type 1 fimbriae	NA
2021-MIN-0009	virulence_ecoli	gad	100	1401 / 1401	Contig_1 length=2732064 depth=1.00x	2427644..2429044	  Glutamate decarboxylase	AP010953
2021-MIN-0009	virulence_ecoli	gad	100	1401 / 1401	Contig_1 length=2732064 depth=1.00x	100229..101629	  Glutamate decarboxylase	CU928160
2021-MIN-0009	virulence_ecoli	hlyE	99.13	918 / 918	Contig_2 length=1888694 depth=1.03x	1781389..1782305	  Avian E. coli haemolysin	ECU57430
2021-MIN-0009	virulence_ecoli	iss	100	342 / 342	Contig_1 length=2732064 depth=1.00x	1332710..1333051	  Increased serum survival	AE014075
2021-MIN-0009	virulence_ecoli	lpfA	100	573 / 573	Contig_3 length=541461 depth=1.24x	154053..154625	  Long polar fimbriae	CP002185
2021-MIN-0009	virulence_ecoli	nlpI	99.66	885 / 885	Contig_1 length=2732064 depth=1.00x	434441..435325	  lipoprotein NlpI precursor	CP000243
2021-MIN-0009	virulence_ecoli	ompT	95.78	948 / 948	Contig_4 length=112029 depth=1.49x circular=true	8387..9334	  Outer membrane protease (protein protease 7)	CDLB01000100
2021-MIN-0009	virulence_ecoli	shiB	96.26	428 / 462	Contig_2 length=1888694 depth=1.03x	165900..166327	 homologs of the Shigella flexneri SHI-2 pathogenicity island gene shiA	AAD44732
2021-MIN-0009	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	Contig_3 length=541461 depth=1.24x	536833..538074	   stx2i-O9-CB10366	FN252457
2021-MIN-0009	virulence_ecoli	terC	100	714 / 714	Contig_1 length=2732064 depth=1.00x	841107..841820	  Tellurium ion resistance protein	CP007491
2021-MIN-0009	virulence_ecoli	terC	100	1041 / 1041	Contig_1 length=2732064 depth=1.00x	557930..558970	  Tellurium ion resistance protein	CYAS01000072
2021-MIN-0009	virulence_ecoli	terC	99.79	966 / 966	Contig_1 length=2732064 depth=1.00x	512747..513711	  Tellurium ion resistance protein	MG591698
2021-MIN-0009	virulence_ecoli	tia	99.86	738 / 738	Contig_2 length=1888694 depth=1.03x	148361..149098	 Tia Invasion determinant	CP010172
2021-MIN-0009	virulence_ecoli	traT	100	732 / 732	Contig_4 length=112029 depth=1.49x circular=true	59891..60622	  Outer membrane protein complement resistance	LAUD01000149
2021-MIN-0009	virulence_ecoli	yehA	98.16	1033 / 1035	Contig_1 length=2732064 depth=1.00x	1637615..1638647	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
2021-MIN-0009	virulence_ecoli	yehB	97.86	2481 / 2481	Contig_1 length=2732064 depth=1.00x	1635119..1637599	" Usher, YHD fimbriael cluster"	CP042934
2021-MIN-0009	virulence_ecoli	yehC	98.67	675 / 675	Contig_1 length=2732064 depth=1.00x	1634429..1635103	" Chaperone, YHD fimbriael cluster"	CP042934
2021-MIN-0009	virulence_ecoli	yehD	98.53	543 / 543	Contig_1 length=2732064 depth=1.00x	1633806..1634348	" Major pilin subunit, YHD fimbriael cluster"	CP042934
2021-MIN-0009	virulence_ecoli	yghJ	91.89	4576 / 4569	Contig_1 length=2732064 depth=1.00x	674004..678569		CP043217
2021-MIN-0009	stx	stx2	99.6	1242 / 1242	Contig_3 length=541461 depth=1.24x	536833..538074	"O9 CB10366, variant i"	FN252457
2021-MIN-0249	virulence_ecoli	anr	97.67	129 / 213	2 length=89954 depth=1.33x circular=true	26842..26970	 AraC negative regulator	AL391753
2021-MIN-0249	virulence_ecoli	csgA	98.9	456 / 456	1 length=5075290 depth=1.00x	490008..490463	 curlin major subunit CsgA	CP069646
2021-MIN-0249	virulence_ecoli	eltIIAB-a	98.33	1141 / 1141	1 length=5075290 depth=1.00x	117886..119026	   Heat-labile enterotoxin LTII-a	JQ031711
2021-MIN-0249	virulence_ecoli	fdeC	95.49	4254 / 4254	1 length=5075290 depth=1.00x	1326094..1330347	 intimin-like adhesin FdeC	AP010953
2021-MIN-0249	virulence_ecoli	fimH	100	489 / 489	1 length=5075290 depth=1.00x	1794973..1795461	   Type 1 fimbriae	NA
2021-MIN-0249	virulence_ecoli	gad	99.79	1401 / 1401	1 length=5075290 depth=1.00x	5034079..5035479	  Glutamate decarboxylase	CP002967
2021-MIN-0249	virulence_ecoli	gad	100	1401 / 1401	1 length=5075290 depth=1.00x	2799433..2800833	  Glutamate decarboxylase	CU928160
2021-MIN-0249	virulence_ecoli	hha	95.31	213 / 213	1 length=5075290 depth=1.00x	2015213..2015425	 hemolysin expression modulator Hha (previous rmoA)	453331
2021-MIN-0249	virulence_ecoli	hha	91.67	180 / 213	1 length=5075290 depth=1.00x	4460911..4461090	 hemolysin expression modulator Hha (previous rmoA)	453331
2021-MIN-0249	virulence_ecoli	hlyE	99.13	918 / 918	1 length=5075290 depth=1.00x	379608..380524	  Avian E. coli haemolysin	ECU57430
2021-MIN-0249	virulence_ecoli	iss	100	294 / 294	1 length=5075290 depth=1.00x	1048543..1048836	  Increased serum survival	CP001665
2021-MIN-0249	virulence_ecoli	lpfA	100	573 / 573	1 length=5075290 depth=1.00x	2541112..2541684	  Long polar fimbriae	KC207123
2021-MIN-0249	virulence_ecoli	nlpI	99.77	885 / 885	1 length=5075290 depth=1.00x	3133669..3134553	  lipoprotein NlpI precursor	CP000243
2021-MIN-0249	virulence_ecoli	ompT	96.62	948 / 948	2 length=89954 depth=1.33x circular=true	4346..5293	  Outer membrane protease (protein protease 7)	CDLB01000100
2021-MIN-0249	virulence_ecoli	ompT	99.72	363 / 363	1 length=5075290 depth=1.00x	1022197..1022559	  Outer membrane protease (protein protease 7)	UDHB01000050
2021-MIN-0249	virulence_ecoli	stx2i-O9-CB10366	99.6	1242 / 1242	1 length=5075290 depth=1.00x	2153681..2154922	   stx2i-O9-CB10366	FN252457
2021-MIN-0249	virulence_ecoli	terC	100	714 / 714	1 length=5075290 depth=1.00x	3550703..3551416	  Tellurium ion resistance protein	CP007491
2021-MIN-0249	virulence_ecoli	terC	100	1041 / 1041	1 length=5075290 depth=1.00x	3258127..3259167	  Tellurium ion resistance protein	CYAS01000072
2021-MIN-0249	virulence_ecoli	terC	98.85	959 / 966	1 length=5075290 depth=1.00x	3212512..3213470	  Tellurium ion resistance protein	MG591698
2021-MIN-0249	virulence_ecoli	tia	99.86	738 / 738	1 length=5075290 depth=1.00x	1966580..1967317	 Tia Invasion determinant	CP010172
2021-MIN-0249	virulence_ecoli	traJ	98.55	690 / 690	2 length=89954 depth=1.33x circular=true	59423..60112	  Protein TraJ (Positive regulator of conjugal transfer operon)	AF550679
2021-MIN-0249	virulence_ecoli	traT	99.73	732 / 732	2 length=89954 depth=1.33x circular=true	36942..37673	  Outer membrane protein complement resistance	AKLT01000045
2021-MIN-0249	virulence_ecoli	yehA	98.06	1033 / 1035	1 length=5075290 depth=1.00x	4327605..4328637	"  Outer membrane lipoprotein, YHD fimbriael cluster"	CP042934
2021-MIN-0249	virulence_ecoli	yehB	97.86	2481 / 2481	1 length=5075290 depth=1.00x	4325109..4327589	" Usher, YHD fimbriael cluster"	CP042934
2021-MIN-0249	virulence_ecoli	yehC	98.37	675 / 675	1 length=5075290 depth=1.00x	4324419..4325093	" Chaperone, YHD fimbriael cluster"	CP042934
2021-MIN-0249	virulence_ecoli	yehD	98.71	543 / 543	1 length=5075290 depth=1.00x	4323796..4324338	" Major pilin subunit, YHD fimbriael cluster"	CP042934
