genome_id	Source	Source2	Serotype	STX
2020-SEQ-0005	Meat	Meat	OUT:H29	Stx2b
GCA_013061965.1	Meat	Meat	O157:H7	ND
2018-SEQ-0241	Meat	Meat	O108:H21	Stx1c
2018-SEQ-1598	Meat	Lamb	O128:H2	Stx1c
2019-SEQ-0212	Meat	Lamb	O128:H2	Stx2b,Stx1c
2021-SEQ-0388	Meat	Meat	OUT:H29	Stx2c,Stx2b
2018-SEQ-0399	Meat	Meat	O91:H14	Stx2b,Stx1a
GCA_012139665.1	Meat	Meat	O157:H7	Stx2a
2021-GTA-0022	Meat	Lamb	O91:H14	Stx2b,Stx1a
2019-SEQ-1266	Meat	Meat	O8:H23	Stx1a
2021-GTA-0023	Meat	Lamb	OUT:H8	Stx1c
2019-SEQ-0145	Meat	Lamb	OUT:H2	Stx2b,Stx1c
2021-MER-0013	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-GTA-0150	Flour	Flour	OUT:H2	Stx2c
2018-SEQ-1383	Meat	Lamb	O176:H4	Stx2b,Stx1c
2018-SEQ-0400	Meat	Meat	O128:H2	Stx2b,Stx1c
2014-SEQ-0094	Meat	Meat	O157:H7	Stx2a,Stx1a
2021-GTA-0024	Meat	Meat	OUT:H2	Stx2d
2015-SEQ-1638	Meat	Meat	O157:H7	Stx1a,Stx2a
2021-GTA-0018	Meat	Meat	O174:H21	Stx2c
2018-SEQ-1324	Meat	Lamb	O91:H14	Stx2b,Stx1a
2015-SEQ-1635	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-SEQ-0898	Meat	Meat	O174:H21	Stx2c
2015-SEQ-1636	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-GTA-0109	Meat	Meat	O157:H7	Stx2c,Stx1a
GCA_012140505.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-SEQ-0293	Meat	Lamb	O128:H2	Stx2b,Stx1c
2019-DAR-0020	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-GTA-0200	Flour	Flour	OUT:H19	Stx2a
2018-SEQ-0097	Meat	Meat	O157:H7	Stx2a
2020-SEQ-0292	Meat	Meat	OUT:H8	Stx2b,Stx1c
2015-SEQ-0036	Meat	Meat	O157:H7	Stx2c
2018-SEQ-1382	Meat	Lamb	O128:H2	Stx2b,Stx1c
2020-SEQ-0387	Meat	Meat	OUT:H10	Stx2b,Stx1c
2019-MER-0227	Meat	Meat	O174:H21	Stx2c
2019-SEQ-1223	Meat	Meat	OUT:H2	Stx2c
2018-SEQ-1323	Meat	Lamb	O91:H14	Stx2b,Stx1a
2015-SEQ-0051	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-SEQ-0093	Meat	Lamb	OUT:H8	Stx1c
2018-SEQ-0644	Meat	Lamb	O91:H14	Stx2b,Stx1a
2020-CAL-0073	Meat	Meat	O128:H2	Stx2b,Stx1c
2021-DAR-0014	Meat	Meat	O5:H9	Stx1a
2015-SEQ-1142	Meat	Meat	O86:H32	Stx2e
2019-DAR-0263	Meat	Meat	O98:H25	Stx1a
2015-SEQ-0658	Meat	Meat	O36:HUT	Stx2e
2018-SEQ-0617	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0618	Meat	Lamb	O91:H14	Stx2b,Stx1a
2019-DAR-0291	Meat	Meat	O91:H14	Stx2b
2018-SEQ-0240	Meat	Meat	O108:H21	Stx1c
2013-SEQ-0047	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2019-MER-0057	Meat	Lamb	O128:H2	Stx1c,Stx2b
2020-SEQ-0325	Meat	Meat	O91:H14	Stx2b,Stx1a
2017-SEQ-0084	Meat	Meat	O116:H16	Stx2g
2018-GTA-0114	Meat	Meat	O75:H8	Stx2b,Stx1c
2018-GTA-0012	Meat	Meat	O103:H25	Stx1a
2018-SEQ-0228	Meat	Meat	O157:H7	Stx2a
2018-SEQ-0643	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-SEQ-0897	Meat	Meat	O174:H21	Stx2c
2018-SEQ-0619	Meat	Lamb	O104:H7	Stx1c
2019-MER-0123	Meat	Lamb	O128:H2	Stx2b,Stx1c
2018-SEQ-0226	Meat	Meat	O157:H7	Stx2a
2017-MER-0420	Meat	Meat	O91:H14	Stx1a
2018-SEQ-1017	Meat	Lamb	OUT:H16	Stx1c
2019-SEQ-1012	Meat	Meat	O176:H4	Stx1c
2016-SEQ-1373	Flour	Flour	O121:H19	Stx2a
2018-STH-0258	Meat	Meat	O91:H14	Stx2b,Stx1a
2019-DAR-0262	Meat	Meat	O6:H10	Stx1c
2019-SEQ-0516	Meat	Meat	O109:H5	Stx1a
2017-SEQ-1690	Dairy	Dairy	O17/O77:H18	Stx2d
2017-CAL-0121	Meat	Meat	O157:H7	Stx2a,Stx1a
2016-SEQ-0054	Meat	Meat	O176:H4	Stx1c
2019-MER-0137	Meat	Lamb	OUT:H21	Stx2i
2019-MER-0225	Meat	Lamb	O176:H4	Stx2b,Stx1c
2015-SEQ-0657	Meat	Meat	O121:H10	Stx2e
2019-MER-0194	Meat	Lamb	O146:H8	Stx1c
2017-SEQ-0618	Meat	Meat	O113:H4	Stx2d,Stx1a
2017-SEQ-0458	Meat	Meat	O91:H21	Stx1a,Stx2a
2019-SEQ-0137	Meat	Lamb	O146:H8	Stx1c
2018-SEQ-1062	Meat	Lamb	O128:H2	Stx2b,Stx1c
2013-SEQ-0048	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx1a,Stx2a
2017-MER-0217	Meat	Meat	O157:H7	Stx1a,Stx2c
2019-SEQ-1265	Meat	Meat	O98:H25	Stx1a
2018-SEQ-0096	Meat	Meat	O157:H7	Stx2a
2019-MER-0269	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-SEQ-0225	Meat	Meat	O157:H7	Stx2a
2018-GTA-0113	Meat	Meat	O123/O186:H10	Stx2b,Stx1c
2018-SEQ-1637	Meat	Lamb	O3:H21	Stx2b,Stx1c
2016-SEQ-0118	Meat	Meat	O113:H4	Stx2d
2018-STH-0003	Meat	Meat	O91:H14	Stx2b,Stx1a
2017-GTA-0110	Meat	Meat	O157:H7	Stx2c,Stx1a
2019-SEQ-1011	Meat	Meat	OUT:H2	Stx2b,Stx1c
2014-SEQ-0095	Meat	Meat	O157:H7	Stx1a,Stx2a
2015-SEQ-1455	Meat	Meat	O132:H18	Stx2a
2018-SEQ-1328	Dairy	Dairy	O157:H7	Stx2a
2019-DAR-0257	Meat	Meat	O91:H14	Stx2b,Stx1a
2021-SEQ-0074	Meat	Meat	O104:H7	Stx1c
2015-SEQ-0040	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0659	Meat	Meat	OUT:H38	Stx2e
2015-SEQ-0889	Meat	Meat	O91:H14	Stx1a
2021-MER-0007	Meat	Meat	O91:H14	Stx2b,Stx1a
2015-SEQ-1639	Meat	Meat	O157:H7	Stx1a,Stx2a
2017-SEQ-1697	Meat	Meat	O91:H14	Stx2b,Stx1a
2017-MER-0172	Meat	Meat	O163:H19	Stx1a
2015-SEQ-1027	Meat	Meat	O157:H7	Stx2c
2018-SEQ-0642	Meat	Lamb	O91:H14	Stx2b,Stx1a
2018-MER-0085	Flour	Flour	O103:H25	Stx1a
2019-STH-0001	Meat	Meat	O104:H7	Stx1c
2017-SEQ-1689	Dairy	Dairy	O17/O77:H18	Stx2d
2020-SEQ-0075	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-SEQ-0375	Meat	Meat	O157:H7	Stx1a,Stx2c
2017-MER-0216	Meat	Meat	O157:H7	Stx2c,Stx1a
2021-MIN-0250	Meat	Lamb	O9:H30	Stx2i
2018-MER-0084	Flour	Flour	O103:H25	Stx1a
2019-DAR-0018	Meat	Lamb	OUT:H21	Stx2i
GCA_012139605.1	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-SEQ-1392	Dairy	Dairy	O157:H7	Stx2a
2021-MIN-0251	Meat	Lamb	OUT:H21	Stx2i
2017-GTA-0058	Meat	Meat	O157:H7	Stx2c,Stx1a
2014-SEQ-0455	Environment	Environment	O157:H7	Stx2c,Stx1a
2018-BUR-0122	Meat	Meat	O113:H4	Stx2d,Stx1a
2021-SEQ-0504	Meat	Meat	O91:H14	Stx2b,Stx1a
2021-MER-0004	Meat	Meat	OUT:H8	Stx1c
2018-SEQ-0231	Meat	Meat	O157:H7	Stx2a
2019-STH-0002	Meat	Meat	O132:H18	Stx2a
2018-STH-0052	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-DAR-0250	Meat	Meat	O75:H8	Stx2b,Stx1a
2018-MER-0108	Meat	Meat	OUT:H29	Stx2c
2018-SEQ-0340	Meat	Meat	OUT:H10	Stx2d
2014-SEQ-1315	Meat	Meat	O157:H7	Stx2a,Stx1a
2021-SEQ-0001	Meat	Meat	O123:H10	Stx2b,Stx1c
2017-SEQ-1843	Meat	Meat	O157:H7	Stx2a,Stx1a
2019-SEQ-1083	Meat	Meat	OUT:H19	Stx2b,Stx1c
2015-SEQ-0046	Meat	Meat	O157:H7	Stx2c
2015-SEQ-0887	Meat	Meat	O91:H14	Stx1a
2017-DAR-0087	Meat	Meat	O91:H14	Stx2b,Stx1a
2015-SEQ-0655	Meat	Meat	O121:H10	Stx2e
2019-SEQ-0254	Meat	Meat	O55:H12	Stx1a
2020-DAR-0008	Meat	Meat	O176:H4	Stx2b,Stx1c
2017-GTA-0059	Meat	Meat	O157:H7	Stx1a,Stx2c
2018-STH-0001	Meat	Meat	O91:H14	Stx2b,Stx1a
2017-SEQ-1696	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-SEQ-1061	Meat	Lamb	O91:H14	Stx2b,Stx1c
2015-SEQ-0886	Meat	Meat	O91:H14	Stx1a
2021-DAR-0023	Meat	Meat	O128:H2	Stx2b,Stx1c
2018-STH-0051	Meat	Meat	O157:H7	Stx1a,Stx2a
2020-SEQ-0219	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-SEQ-1090	Meat	Meat	O174:H21	Stx2c
2017-SEQ-0041	Flour	Flour	O121:H19	Stx2a
2017-SEQ-0908	Meat	Meat	O113:H21	Stx2d
2017-MER-0215	Meat	Meat	O157:H7	Stx2c,Stx1a
2020-SEQ-0326	Meat	Meat	O91:H14	Stx2b,Stx1a
2020-DAR-0004	Meat	Meat	O91:H14	Stx2b,Stx1a
2017-CAL-0128	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0656	Meat	Meat	O121:H10	Stx2e
2018-MER-0083	Flour	Flour	O103:H25	Stx1a
2018-GTA-0101	Meat	Meat	O128:H2	Stx2b,Stx1c
2017-SEQ-0911	Meat	Meat	O55:H12	Stx1a
2013-SEQ-0046	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2015-SEQ-0049	Meat	Meat	O157:H7	Stx2c
2019-SEQ-1242	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-DAR-0017	Meat	Lamb	OUT:H21	Stx2i
2017-CAL-0127	Meat	Meat	O157:H7	Stx2a,Stx1a
2018-SEQ-0232	Meat	Meat	O157:H7	Stx2a
2018-GTA-0051	Meat	Meat	O146:H8	Stx1c
2021-SEQ-0097	Meat	Meat	O91:H14	Stx2b,Stx1a
2018-SEQ-1270	Meat	Lamb	O8:H9	Stx2e
2015-SEQ-0879	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0725	Meat	Meat	O91:H14	Stx1a
2014-SEQ-1308	Meat	Meat	O157:H7	Stx2a,Stx1a
2021-MER-0003	Meat	Meat	O153:H25	Stx2b
2021-DAR-0007	Meat	Lamb	O146:H8	Stx1c
2015-SEQ-1141	Meat	Meat	O163:H19	Stx1a
2021-MIN-0249	Meat	Lamb	O8:H25	Stx2i
2020-DAR-0036	Meat	Meat	O128:H2	Stx2b,Stx1c
2019-MER-0224	Flour	Flour	O103:H25	Stx1a
2017-MER-0052	Meat	Meat	O157:H7	Stx2a
2015-SEQ-0878	Meat	Meat	O157:H7	Stx2c
2017-GTA-0042	Flour	Flour	O187:H52	Stx1c
2015-SEQ-0044	Meat	Meat	O157:H7	Stx1a,Stx2c
2017-SEQ-0617	Meat	Meat	O171:H2	Stx2d
2018-STH-0053	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-STH-0260	Meat	Meat	O128:H2	Stx2a,Stx2b,Stx1c
2014-SEQ-0096	Meat	Meat	O157:H7	Stx1a,Stx2a
2018-SEQ-0229	Meat	Meat	O157:H7	Stx2a
2017-SEQ-1617	Meat	Meat	O76:H19	Stx1c
2019-DAR-0258	Meat	Meat	O15:H16	Stx2g
2017-SEQ-0168	Flour	Flour	O121:H19	Stx2a
2013-SEQ-0045	Nuts/Seeds	Nuts/Seeds	OUT:H18	Stx2a,Stx1a
2017-CAL-0118	Meat	Meat	O157:H7	Stx2a,Stx1a
2017-CAL-0117	Meat	Meat	O157:H7	Stx1a
2020-DAR-0002	Meat	Meat	O181:H16	Stx2b,Stx1c
2015-SEQ-0113	Meat	Meat	OUT:H26	Stx2e
2017-CAL-0427	Meat	Meat	O76:H19	Stx1c
2015-SEQ-0039	Meat	Meat	O157:H7	Stx2a,Stx1a
2015-SEQ-0048	Meat	Meat	O157:H7	Stx2c
2017-SEQ-0032	Flour	Flour	O121:H19	Stx2a
2017-CAL-0126	Meat	Meat	O157:H7	Stx2a
GCA_012140445.1	Meat	Meat	O157:H7	Stx1a,Stx2a
2019-DAR-0260	Meat	Meat	O128:H2	Stx2b,Stx1c
2015-SEQ-1454	Meat	Meat	O132:H18	Stx2a
2018-GTA-0123	Meat	Meat	O178:H7	Stx1c
2020-SEQ-0314	Meat	Meat	O128:H2	Stx2b,Stx1c
2020-DAR-0005	Meat	Meat	O91:H14	Stx2b
